Date,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2007,4.408804781,4.480956175,4.615577689,4.53123506,4.364820717,4.346932271,4.431593625,4.509561753,4.634661355,4.909561753,4.838286853
2008,1.29314741,1.41375,1.660079681,1.826812749,2.011314741,2.242788845,2.803545817,3.171593625,3.664262948,4.359760956,4.27752988
2009,0.09636,0.15092,0.28272,0.47352,0.95848,1.43064,2.1978,2.81512,3.26412,4.11308,4.07668
2010,0.1148,0.13868,0.19684,0.31712,0.7018,1.10508,1.92728,2.61556,3.21252,4.0272,4.24948
2011,0.0396,0.05284,0.09572,0.18088,0.44936,0.74676,1.51824,2.15684,2.78164,3.61756,3.9108
2012,0.07076,0.0876,0.13384,0.17484,0.27616,0.38228,0.76172,1.22044,1.80344,2.5418,2.92168
2013,0.04628,0.05708,0.08832,0.13116,0.30708,0.54284,1.17208,1.73752,2.35016,3.11828,3.44616
2014,0.0282,0.03272,0.0646,0.12112,0.46208,0.89796,1.6416,2.14404,2.53956,3.07264,3.33816
2015,0.036015936,0.05250996,0.165498008,0.322709163,0.686772908,1.024541833,1.531035857,1.891195219,2.138286853,2.54752988,2.840996016
2016,0.25452,0.31936,0.46304,0.61432,0.8342,1.004,1.33472,1.63432,1.83744,2.2186,2.5944
